,Label,Pha,Phu,Pr_coc_,Pr_cat_,Pr_egg_,Pb_cat_,Pb_coc_,Pb_egg_,Ls_cat_,Col,Wev,Mp,Spi,Thr,Plx,Plx_cat_,Plx_egg_,Plx_coc_,Coc_lar_,Coc_egg_,Coc,Af,Bb,Het,Mb_egg_,Mb_cat_,C_rub,C_glo,Rb,Paras,Bem,Bem_instar_,Bem_egg_,Fly,Oi,Lw_egg_,Lw_larv_,Lw,Tor_larv_,Mum,Hov_lar_,Hov_coc_,Hov_egg_,Ag_cat_,Ag_coc_,c_bug,Ef_v_cat_,Ef_v_egg_,Mm,Gm,Ev_X_cat_,Un_e,Un_e_paras_,Un_cat,Un_cat_paras_,Un_coc,Col_sp,Car,Cic,Ful
69,MW_Pot_week.16_plant.34_obs16,0,0,0,1,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,15,0,0,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
70,CHI_Pot_week.16_plant.32_obs9,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,1,0,0,0,0,28,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,CHI_Pot_week.16_plant.32_obs10,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,25,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,MW_Pot_week.16_plant.36_obs15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
73,HC_Pot_week.16_plant.54_obs15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,29,0,45,0,0,0,0,0,0,2,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
74,MW_Pot_week.16_plant.42_obs12,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,40,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
75,CHI_Pot_week.16_plant.37_obs9,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,33,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,HC_Pot_week.16_plant.50_obs9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,MAN_Pot_week.16_plant.44_obs10,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,CHI_Field_week.16_plant.40_obs11,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,MW_Field_week.16_plant.44_obs13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0
80,HC_Pot_week.16_plant.34_obs16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
81,MAN_Field_week.16_plant.33_obs8,0,0,0,1,1,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,MW_Field_week.16_plant.40_obs14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
83,MAN_Pot_week.16_plant.64_obs13,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,75,0,0,0,2,0,0,1,0,0,8,0,0,0,0,0,0,3,0,0,0,9,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0
84,MAN_Field_week.16_plant.50_obs16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,300,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,HC_Pot_week.16_plant.36_obs16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,2,4,0,6,0,0,0,0,0,0,4,0,0,0,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
86,HC_Pot_week.16_plant.35_obs16,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,2,1,0,0,1,2,11,0,0,0,0,0,0,0,12,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
87,MAN_Field_week.16_plant.45_obs16,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,18,0,0,1,0,0,0,0,5,0,15,0,0,0,0,0,0,0,1,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
88,CHI_Field_week.16_plant.36_obs13,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
