Sample_Name;Sample_name;Novogene_ID;Treatment;Time_point;Soil_type;Plant_Number;Harvest;Block;Column;Row
Co.P49.W16;co_p49_w16;FKDN220481196-1A;CO;Week.16;Pot;49;16;3;9;1
Co.P50.W16;co_p50_w16;FKDN220481190-1A;CO;Week.16;Pot;50;16;13;37;2
HC.P31.W16;hc_p31_w16;FKDN220481208-1A;HC;Week.16;Pot;31;16;4;10;10
HC.P32.W16;hc_p32_w16;FKDN220481209-1A;HC;Week.16;Pot;32;16;3;8;6
HC.P34.W16;hc_p34_w16;FKDN220481210-1A;HC;Week.16;Pot;34;16;7;20;5
HC.P36.W16;hc_p36_w16;FKDN220481211-1A;HC;Week.16;Pot;36;16;2;6;4
HC.P37.W16;hc_p37_w16;FKDN220481212-1A;HC;Week.16;Pot;37;16;1;1;16
HC.P40.W16;hc_p40_w16;FKDN220481213-1A;HC;Week.16;Pot;40;16;12;34;6
HC.P42.W16;hc_p42_w16;FKDN220481214-1A;HC;Week.16;Pot;42;16;7;19;16
HC.P46.W16;hc_p46_w16;FKDN220481215-1A;HC;Week.16;Pot;46;16;2;5;15
HC.P54.W16;hc_p54_w16;FKDN220481207-1A;HC;Week.16;Pot;54;16;13;37;1
HC.P61.W16;hc_p61_w16;FKDN220481216-1A;HC;Week.16;Pot;61;16;1;2;1
Man.P33.W16;man_p33_w16;FKDN220481226-1A;MAN;Week.16;Pot;33;16;4;10;1
Man.P37.W16;man_p37_w16;FKDN220481227-1A;MAN;Week.16;Pot;37;16;6;16;8
Man.P38.W16;man_p38_w16;FKDN220481228-1A;MAN;Week.16;Pot;38;16;8;24;10
Man.P40.W16;man_p40_w16;FKDN220481229-1A;MAN;Week.16;Pot;40;16;3;9;2
Man.P41.W16;man_p41_w16;FKDN220481230-1A;MAN;Week.16;Pot;41;16;5;13;13
Man.P42.W16;man_p42_w16;FKDN230053487-1A;MAN;Week.16;Pot;42;16;2;4;11
Man.P43.W16;man_p43_w16;FKDN220481232-1A;MAN;Week.16;Pot;43;16;3;9;15
Man.P44.W16;man_p44_w16;FKDN220481233-1A;MAN;Week.16;Pot;44;16;2;5;16
Man.P46.W16;man_p46_w16;FKDN220481234-1A;MAN;Week.16;Pot;46;16;8;24;2
